19979.1,-66.0
19979.11,-60.0
19979.12,-27.0
19979.13,-50.0
19979.14,-57.0
19979.15,-60.0
19979.16,-78.0
19979.17,-68.0
19979.18,-72.0
19979.19,-48.0
19979.2,-34.0
19979.21,-72.0
19979.22,-60.0
19979.23,-55.0
19979.24,-50.0
19979.25,-62.0
19979.26,-38.0
19979.27,-62.0
19979.28,-41.0
19979.29,-64.0
19979.3,-49.0
19979.31,-48.0
19979.32,-74.0
19979.33,-67.0
19979.34,-55.0
19979.35,-27.0
19979.36,-64.0
19979.37,-37.0
19979.38,-22.0
19979.39,-33.0
19979.4,-32.0
19979.41,-64.0
19979.42,-69.0
19979.43,-63.0
19979.44,-60.0
19979.45,-34.0
19979.46,-62.0
19979.47,-27.0
19979.48,-55.0
19979.49,-38.0
19979.5,-36.0
19979.51,-41.0
19979.52,-45.0
19979.53,-29.0
19979.54,-51.0
19979.55,-46.0
19979.56,-40.0
19979.57,-49.0
19979.58,-56.0
19979.59,-55.0
19979.6,-44.0
19979.61,-70.0
19979.62,-40.0
19979.63,-26.0
19979.64,-39.0
19979.65,-48.0
19979.66,-44.0
19979.67,-49.0
19979.68,-40.0
19979.69,-37.0
19979.7,-31.0
19979.71,-35.0
19979.72,-41.0
19979.73,-41.0
19979.74,-33.0
19979.75,-40.0
19979.76,-72.0
19979.77,-48.0
19979.78,-34.0
19979.79,-40.0
19979.8,-69.0
19979.81,-89.0
19979.82,-40.0
19979.83,-54.0
19979.84,-62.0
19979.85,-56.0
19979.86,-79.0
19979.87,-27.0
19979.88,-24.0
19979.89,-60.0
19979.9,-41.0
19979.91,-11.0
19979.92,-38.0
19979.93,-46.0
19979.94,-41.0
19979.95,-52.0
19979.96,-60.0
19979.97,-54.0
19979.98,-68.0
19979.99,-43.0
19980.0,-49.0
19980.01,-42.0
19980.02,-29.0
19980.03,-60.0
19980.04,-34.0
19980.05,-22.0
19980.06,-12.0
19980.07,-61.0
19980.08,-24.0
19980.09,-36.0
19980.1,-45.0
19980.11,-51.0
19980.12,1.0
19980.13,-62.0
19980.14,-55.0
19980.15,-29.0
19980.16,-79.0
19980.17,-43.0
19980.18,-55.0
19980.19,-38.0
19980.2,-63.0
19980.21,-62.0
19980.22,-53.0
19980.23,-73.0
19980.24,-79.0
19980.25,-69.0
19980.26,-50.0
19980.27,-33.0
19980.28,-34.0
19980.29,-41.0
19980.3,-29.0
19980.31,-48.0
19980.32,-38.0
19980.33,-43.0
19980.34,-42.0
19980.35,-81.0
19980.36,-68.0
19980.37,-43.0
19980.38,-29.0
19980.39,-6.0
19980.4,-55.0
19980.41,-27.0
19980.42,-50.0
19980.43,-35.0
19980.44,-37.0
19980.45,-17.0
19980.46,-36.0
19980.47,-30.0
19980.48,-55.0
19980.49,-44.0
19980.5,-49.0
19980.51,-8.0
19980.52,-51.0
19980.53,-34.0
19980.54,-23.0
19980.55,-27.0
19980.56,-56.0
19980.57,-43.0
19980.58,-76.0
19980.59,-40.0
19980.6,-31.0
19980.61,-52.0
19980.62,-65.0
19980.63,-39.0
19980.64,-93.0
19980.65,-16.0
19980.66,-79.0
19980.67,-35.0
19980.68,-37.0
19980.69,-55.0
19980.7,-71.0
19980.71,-55.0
19980.72,-40.0
19980.73,-55.0
19980.74,-53.0
19980.75,-34.0
19980.76,-44.0
19980.77,-8.0
19980.78,-28.0
19980.79,-19.0
19980.8,-35.0
19980.81,-34.0
19980.82,-58.0
19980.83,-75.0
19980.84,-49.0
19980.85,-66.0
19980.86,-43.0
19980.87,-70.0
19980.88,-38.0
19980.89,-81.0
19980.9,-70.0
19980.91,-82.0
19980.92,-33.0
19980.93,-75.0
19980.94,-63.0
19980.95,-47.0
19980.96,-61.0
19980.97,-54.0
19980.98,-28.0
19980.99,-69.0
19981.0,-36.0
19981.01,-90.0
19981.02,-64.0
19981.03,-53.0
19981.04,-88.0
19981.05,-68.0
19981.06,-67.0
19981.07,-77.0
19981.08,-64.0
19981.09,-75.0
19981.1,-18.0
19981.11,-88.0
19981.12,-36.0
19981.13,-40.0
19981.14,-41.0
19981.15,-45.0
19981.16,-48.0
19981.17,-64.0
19981.18,-24.0
19981.19,-54.0
19981.2,-39.0
19981.21,-60.0
19981.22,-83.0
19981.23,-44.0
19981.24,-76.0
19981.25,-79.0
19981.26,-45.0
19981.27,-78.0
19981.28,0.0
19981.29,-61.0
19981.3,-32.0
19981.31,-45.0
19981.32,-68.0
19981.33,-40.0
19981.34,-74.0
19981.35,-72.0
19981.36,-92.0
19981.37,-95.0
19981.38,-87.0
19981.39,-65.0
19981.4,-39.0
19981.41,-60.0
19981.42,-42.0
19981.43,-69.0
19981.44,-52.0
19981.45,-60.0
19981.46,-81.0
19981.47,-58.0
19981.48,-34.0
19981.49,-37.0
19981.5,-12.0
19981.51,-53.0
19981.52,-69.0
19981.53,-44.0
19981.54,-62.0
19981.55,-90.0
19981.56,-52.0
19981.57,-35.0
19981.58,-57.0
19981.59,-56.0
19981.6,-38.0
19981.61,-70.0
19981.62,-20.0
19981.63,-65.0
19981.64,-19.0
19981.65,-50.0
19981.66,-66.0
19981.67,-63.0
19981.68,-47.0
19981.69,-38.0
19981.7,-66.0
19981.71,-59.0
19981.72,-60.0
19981.73,-53.0
19981.74,-41.0
19981.75,-63.0
19981.76,-60.0
19981.77,-69.0
19981.78,-49.0
19981.79,-56.0
19981.8,-46.0
19981.81,-48.0
19981.82,-51.0
19981.83,-43.0
19981.84,-64.0
19981.85,-20.0
19981.86,-53.0
19981.87,-8.0
19981.88,-55.0
19981.89,-54.0
19981.9,-52.0
19981.91,-63.0
19981.92,-32.0
19981.93,-53.0
19981.94,-83.0
19981.95,-74.0
19981.96,-41.0
19981.97,-79.0
19981.98,-62.0
19981.99,-50.0
19982.0,-76.0
19982.01,-70.0
19982.02,-68.0
19982.03,-17.0
19982.04,-71.0
19982.05,-45.0
19982.06,-51.0
19982.07,-55.0
19982.08,-73.0
19982.09,-52.0
19982.1,-67.0
19982.11,-71.0
19982.12,-61.0
19982.13,-51.0
19982.14,-84.0
19982.15,-58.0
19982.16,-62.0
19982.17,-19.0
19982.18,-60.0
19982.19,-102.0
19982.2,-36.0
19982.21,-72.0
19982.22,-62.0
19982.23,-18.0
19982.24,-103.0
19982.25,-56.0
19982.26,-62.0
19982.27,-10.0
19982.28,-67.0
19982.29,-31.0
19982.3,-60.0
19982.31,-31.0
19982.32,-55.0
19982.33,-62.0
19982.34,-75.0
19982.35,-43.0
19982.36,-66.0
19982.37,-55.0
19982.38,-43.0
19982.39,-46.0
19982.4,-72.0
19982.41,-41.0
19982.42,-52.0
19982.43,-65.0
19982.44,-30.0
19982.45,-67.0
19982.46,-61.0
19982.47,-59.0
19982.48,-39.0
19982.49,-77.0
19982.5,-55.0
19982.51,-61.0
19982.52,-41.0
19982.53,-40.0
19982.54,-61.0
19982.55,-79.0
19982.56,-81.0
19982.57,-48.0
19982.58,-63.0
19982.59,-41.0
19982.6,-94.0
19982.61,-54.0
19982.62,-46.0
19982.63,-77.0
19982.64,-38.0
19982.65,-55.0
19982.66,-41.0
19982.67,-49.0
19982.68,-32.0
19982.69,-65.0
19982.7,-82.0
19982.71,-76.0
